fips,state_fips,pct_male,pct_white,pct_black,pct_hispanic,pct_2024,pct_2534,pct_3544,pct_4554,pct_5564,poverty_rate,med_income,log_median_income,pop_density,log_pop_density,uninsured_rate,avg_mortality_pre,dem_governor_2010
13267,13,0.5830406818450854,0.5914059109024188,0.2838653671625301,0.10353943889831511,0.12375751625966376,0.2521168241502025,0.22401521659099277,0.22916922321757272,0.1709412197815683,0.2737219114905309,37587,10.534413524913662,52.86366585106893,3.967716256962013,0.214,427.88426191162,0
13295,13,0.49155240139600764,0.9191600589944656,0.04253734612520261,0.016822184255486924,0.09349121202383012,0.2066101401626579,0.22455689318468347,0.2502657404889625,0.22507601413986603,0.1668411293216892,39963,10.595709305019572,153.41447514331992,5.03314324656295,0.188,530.3562536699702,0
13135,13,0.49223342466682246,0.4302146357174078,0.2358837695587055,0.20190311062572117,0.10002014345298281,0.22868546195652173,0.26410041708796766,0.2465361160262892,0.16065786147623862,0.1391169140566837,60445,11.009489139636091,1919.0139945118651,7.559566788587604,0.19899999999999998,219.7620807364056,0
13049,13,0.5606269113149847,0.6327981651376147,0.2555810397553517,0.10535168195718654,0.10338018352886515,0.2212800557556046,0.27854570798002093,0.2380067371355558,0.15878731559995354,0.19669449944047518,40111,10.599405889891859,16.908487336732268,2.8278157051382546,0.182,367.0558775684212,0
13015,13,0.49540754318503316,0.7952222510011755,0.10105397382000757,0.07679663684724353,0.10140249887700267,0.21496664282030378,0.2457118139318216,0.24692631473871596,0.190992729632156,0.1713513731499778,47197,10.762085610231633,218.4382779450934,5.386503493829941,0.177,445.7100494216456,0
13097,13,0.4812639527740737,0.48075453605621565,0.3938315628605247,0.08541719730908111,0.0984974750615687,0.21209482822955794,0.26781760740316923,0.2473444613050076,0.17424562800069654,0.16105951622204012,52691,10.872199941956618,667.2064858272479,6.503099571961389,0.201,352.64973851440783,0
13161,13,0.5047865975269246,0.7304214865044542,0.15669458848557372,0.10590347028320703,0.10456049149338374,0.21656427221172023,0.21798204158790171,0.2474007561436673,0.21349243856332703,0.24484864756023894,36296,10.4994628213438,45.4798331015299,3.817268999164298,0.19699999999999998,604.8000143163584,0
13141,13,0.5512834398353731,0.2370843712769414,0.7454781761074407,0.011697173183147407,0.11934805467928496,0.1961093585699264,0.2017174903610235,0.23449001051524712,0.24833508587451805,0.30602028718218943,25000,10.126631103850338,19.568032451609756,2.973897237345412,0.20199999999999999,461.64967915394664,0
13037,13,0.5972390776699029,0.3328276699029126,0.5942050970873787,0.05385315533980582,0.1182010831174947,0.1963739109959972,0.25453261125500354,0.23852130915940664,0.19237108547209794,0.386515092120737,26986,10.203073491990732,23.512039576697685,3.15751261237046,0.212,452.4165589698518,0
13285,13,0.4842127006610009,0.5961697355996223,0.3379662417374882,0.0340828611898017,0.12524123920771965,0.209598781107161,0.2180548501777552,0.2413915693245302,0.20571356018283393,0.236467538767034,41161,10.625246485085315,163.71489028667497,5.098126441063099,0.151,498.66650911657183,0
13197,13,0.5181598062953995,0.5843422114608555,0.3190360890118759,0.06514470194857604,0.0778232884727911,0.16910473961380926,0.24712307392237176,0.25687536571094205,0.24907353228008583,0.20453752181500873,33301,10.413342705547674,23.696527077646905,3.165328500595371,0.19899999999999998,555.8083331934722,0
13249,13,0.4989037273270879,0.6529798684472793,0.27048036675303966,0.06737093880805262,0.08421052631578947,0.16842105263157894,0.2754385964912281,0.2719298245614035,0.2,0.2231123573002203,38425,10.556463568406796,30.058835512204475,3.403156644792176,0.179,NA,0
13023,13,0.4746547334310624,0.6906874469562534,0.2678805647712368,0.024535143893218116,0.1904226934419323,0.1509619435472546,0.2048869540794832,0.26344614520432524,0.19028226372700463,0.2328120905040622,36073,10.493299942049775,60.04076527539723,4.095023752776589,0.155,555.8143352787124,0
13109,13,0.4786277747202348,0.5678774536782242,0.2946248394789947,0.12456430012841681,0.11488750598372427,0.24796553374820487,0.22211584490186692,0.22546673049305888,0.18956438487314506,0.2786869277225794,36788,10.512926984022588,59.62166330330921,4.088018986272533,0.20800000000000002,499.9327258396396,0
13119,13,0.4937267024274934,0.8514864987726157,0.08737157923447586,0.04068551686516956,0.11053089643167972,0.20325975156262363,0.21188385157053563,0.24772529472268376,0.22660020571247724,0.18901780262107193,34830,10.458234363360047,84.12333602297541,4.432284007953226,0.2,610.2581253470426,0
13103,13,0.4956288589716962,0.8027794037121656,0.1358546855233096,0.0304563735579011,0.09803921568627451,0.2072286103455922,0.2542684278881181,0.2602869904019766,0.1801767556780386,0.1119769834616264,63030,11.051366082507156,110.86665271090644,4.7083281522119345,0.151,376.8752265051802,0
13171,13,0.47703842549203374,0.6503114835437456,0.31076685594575226,0.02023264788577099,0.14619994292780367,0.17483116141919527,0.21364025492247693,0.23761057738038618,0.22771806335013792,0.18874152667256117,41016,10.621717513463537,98.85013623978202,4.593604927863344,0.191,578.4758127069618,0
13107,13,0.4943755789845163,0.6039966474039438,0.33450968282676785,0.043892540473774756,0.12039594843462247,0.22460098219766728,0.2037292817679558,0.23941068139963168,0.21186310620012277,0.29416363887228075,32046,10.374927649567825,33.30718009297624,3.505772992151785,0.18,598.3023446932058,0
13239,13,0.49624373956594325,0.42320534223706174,0.5642737896494157,0,0.1522248243559719,0.09914129586260734,0.2646370023419204,0.1990632318501171,0.2849336455893833,0.2637729549248748,31068,10.343933629539539,15.842683999285889,2.762707816431561,0.22399999999999998,NA,0
13159,13,0.5000727378527786,0.7226505673552517,0.21130346232179226,0.039278440500436426,0.08820662768031189,0.20090155945419103,0.2307504873294347,0.24841617933723198,0.23172514619883042,0.2167693661971831,42192,10.649985908593068,37.34195265709668,3.6201174307231736,0.20800000000000002,487.7207809975462,0
13173,13,0.4972682926829268,0.6815609756097561,0.22282926829268293,0.049170731707317075,0.11561537214204638,0.2618777363385763,0.19977298524404086,0.24858115777525538,0.17415274850008108,0.2665049034475786,39452,10.582840022073885,55.327348983326225,4.0132673429359595,0.17800000000000002,436.0117425481038,0
